"response_id,nps_score,feedback_text,response_date,member_location"
"RESP_274,3,""After my scan I never got my results report. It's been 3 weeks and I've followed up 4 times. Each time I'm told 'we'll look into it' but nothing happens. I paid $2500 for a scan I can't even see the results of."",2025-09-06,Chicago"
"RESP_275,10,""Exceptional service from beginning to end. Worth every penny."",2025-09-05,New York"
"RESP_276,6,""Nothing remarkable either way. Just okay."",2025-09-05,Denver"
"RESP_277,4,""Website said I'd get my results in 7-10 business days. It's been 4 weeks and still waiting. When I email to check status I get generic responses saying 'still processing.' This is unacceptable for health information."",2025-09-04,Portland"
"RESP_278,9,""Very satisfied with everything. Professional and thorough."",2025-09-04,Los Angeles"
"RESP_279,2,""The technician at the Houston location didn't seem to know what PreventativeScan was. She kept asking me what my doctor ordered. I had to explain this is a self-referred preventive screening. She seemed confused the whole time."",2025-09-03,Houston"
"RESP_280,7,""Good experience. A few minor issues but overall fine."",2025-09-03,Boston"
"RESP_281,5,""Honestly I still don't understand what the scan is actually screening for. The marketing materials are vague and the staff couldn't clearly explain it either. I had the scan but I'm not even sure what I'm supposed to be looking for in my results."",2025-09-02,Miami"
"RESP_282,10,"""",2025-09-02,Seattle"
"RESP_283,3,""When there was an issue with my scan at the facility, there was no phone number to call for immediate help. The facility staff said they couldn't contact PreventativeScan support either. We're all just supposed to email and wait? That's insane."",2025-09-01,Atlanta"
"RESP_284,8,""Pleased with the quality of care. Would recommend to others."",2025-09-01,San Francisco"
"RESP_285,4,""The confirmation email I got had a different date than what was in my account portal. I called to clarify and the person on the phone gave me a third different date! Nobody seems to have accurate information."",2026-01-31,Phoenix"
"RESP_286,9,""Great preventive care service. Very impressed overall."",2026-01-31,Chicago"
"RESP_287,1,""The Miami location's waiting room is disgusting. There was old food trash on the floor, magazines from 2019, and the bathroom looked like it hadn't been cleaned in weeks. For $2500 I expect basic cleanliness."",2026-01-30,Miami"
"RESP_288,6,""Average experience. Nothing particularly good or bad."",2026-01-30,Denver"
"RESP_289,3,""Staff were unfriendly and seemed bothered by my questions. I'm paying a premium price - the least you can do is be pleasant."",2026-01-29,Dallas"
"RESP_290,10,""Perfect from start to finish. Cannot recommend enough."",2026-01-29,Boston"
"RESP_291,5,""The scheduling system said appointments were available in 2 weeks when I booked. After I paid, suddenly no availability for 8 weeks. Feels like a bait and switch."",2026-01-28,Seattle"
"RESP_292,8,"""",2026-01-28,Los Angeles"
"RESP_293,2,""Was promised a refund for a cancelled appointment. That was 2 months ago. Still haven't received it despite multiple follow-ups. This is completely unacceptable."",2026-01-27,New York"
"RESP_294,7,""Decent service overall. Met my expectations."",2026-01-27,Portland"
"RESP_295,4,""The pre-appointment email said to arrive 15 minutes early. Another email said 30 minutes early. The confirmation text said 10 minutes early. Which is it?! Your communication is a mess."",2026-01-26,Austin"
"RESP_296,9,""Excellent experience. The team was knowledgeable and caring."",2026-01-26,San Francisco"
"RESP_297,6,""Okay but not worth the premium price in my opinion."",2026-01-25,Chicago"
"RESP_298,1,""Paid for my scan online weeks ago. Showed up for my appointment and they said I hadn't paid and tried to charge me again. Had to show them my bank statement and credit card statement. Still took 30 minutes to resolve. Your billing system is broken."",2026-01-25,San Diego"
"RESP_299,10,"""",2026-01-24,Boston"
"RESP_300,3,""The scan detected something concerning and I needed to discuss it with someone immediately. There's no emergency phone number. I had to email and wait 2 days for a response. For urgent medical findings this is dangerous."",2026-01-24,Miami"
"RESP_301,8,""Very good experience. Professional and efficient throughout."",2026-01-23,Seattle"
"RESP_302,5,""I thought this scan would screen for all major cancers based on your marketing. Found out after my scan it only covers certain ones. Feel misled about what I was paying for."",2026-01-23,Denver"
"RESP_303,9,""Highly recommend. Great preventive care service."",2026-01-22,Los Angeles"
"RESP_304,2,""Appointment was supposed to be at 10am on Tuesday. Got a reminder text for 10am on Wednesday. Showed up Tuesday and they said I was scheduled for Wednesday. My confirmation email clearly said Tuesday. This is ridiculous."",2026-01-22,Phoenix"
"RESP_305,7,"""",2026-01-21,Atlanta"
"RESP_306,4,""The Dallas location is completely backed up. I've been trying to get an appointment for 9 weeks. At this point I'm looking at other providers. If you can't handle the volume, stop accepting new patients."",2026-01-21,Dallas"
"RESP_307,10,""Outstanding care and service throughout. Very satisfied."",2026-01-20,San Francisco"
"RESP_308,6,""Fine but nothing exceptional for the price point."",2026-01-20,Chicago"
"RESP_309,3,""Customer support takes forever to respond. Simple questions take 5-7 days to get answered. Unacceptable for a premium service."",2026-01-19,Houston"
"RESP_310,9,"""",2026-01-19,Boston"
"RESP_311,1,""The facility staff had never heard of PreventativeScan. They kept asking if I had a doctor's referral. I explained multiple times this is a self-pay preventive service. They seemed completely lost. How do you partner with facilities that don't even know who you are?"",2026-01-18,Portland"
"RESP_312,8,""Good solid experience. Would use again."",2026-01-18,Seattle"
"RESP_313,5,""Results took 5 weeks instead of the promised 10 days. Every time I followed up I got vague 'still processing' responses. Be honest about timelines."",2026-01-17,Miami"
"RESP_314,10,""Exceptional service from the team. Highly recommend."",2026-01-17,New York"
"RESP_315,4,""The pre-scan communication is terrible. Multiple conflicting emails about what to do, what to bring, how to prepare. I showed up not knowing if I'd done the right prep."",2026-01-16,Austin"
"RESP_316,7,""Decent experience overall. No major issues."",2026-01-16,Los Angeles"
"RESP_317,2,""Miami location waiting room is filthy. Overflowing trash, stained furniture, dirty floors. This does not inspire confidence in your standards for a medical facility."",2026-01-15,Miami"
"RESP_318,9,""Very impressed with the care and professionalism throughout."",2026-01-15,San Francisco"
"RESP_319,6,"""",2026-01-14,Denver"
"RESP_320,3,""Was told I'd receive a partial refund for a service issue. That was 8 weeks ago. No refund, no response to my follow-ups. Starting to think this was a lie."",2026-01-14,San Diego"
"RESP_321,10,""Perfect experience in every way. Worth every dollar."",2026-01-13,Chicago"
"RESP_322,5,""I still don't understand what parts of my body were actually scanned. The information provided is vague and when I asked questions the staff couldn't clearly explain it."",2026-01-13,Seattle"
"RESP_323,8,"""",2026-01-12,Boston"
"RESP_324,4,""Site made me pay again when I checked in even though I'd already paid online. Took forever to sort out and they acted like it was my fault. Fix your payment system."",2026-01-12,Phoenix"
"RESP_325,9,""Excellent care. Very satisfied with everything."",2026-01-11,Los Angeles"
"RESP_326,2,""No phone support when you need immediate help at the facility is absolutely insane. I had an issue checking in and we all just had to stand around waiting for email responses. Useless."",2026-01-11,Houston"
"RESP_327,7,""Good experience. Would recommend with minor reservations."",2026-01-10,Atlanta"
"RESP_328,6,""Nothing special but got the job done."",2026-01-10,Portland"
"RESP_329,1,""Staff at San Diego location were incredibly rude. One person made comments about how long my questions were taking. Another sighed heavily when I asked to clarify something. Terrible customer service."",2026-01-09,San Diego"
"RESP_330,10,"""",2026-01-09,San Francisco"
"RESP_331,3,""Boston location is impossible to book. Eight weeks out and still no availability. This is not what was promised when I signed up."",2026-01-08,Boston"
"RESP_332,8,""Very good experience overall. Professional and thorough."",2026-01-08,Seattle"
"RESP_333,5,""Customer support response time is unacceptably slow. Waited 6 days for a response to an urgent question about my results."",2026-01-07,Miami"
"RESP_334,9,"""",2026-01-07,Denver"
"RESP_335,4,""Confirmation email had me scheduled for 3pm. Portal said 1pm. Actual appointment in their system was 2pm. Nobody can get basic information right."",2026-01-06,Dallas"
"RESP_336,10,""Outstanding from beginning to end. Cannot fault anything."",2026-01-06,New York"
"RESP_337,2,""The marketing materials implied this would screen for far more conditions than it actually does. Feel like I was sold something different than what I received."",2026-01-05,Chicago"
"RESP_338,7,""Solid experience. Met expectations."",2026-01-05,Los Angeles"
"RESP_339,6,"""",2026-01-04,Austin"
"RESP_340,3,""Results are 4 weeks late. Every follow-up email gets the same generic 'still processing' response. This is health information - delays are unacceptable."",2026-01-04,Phoenix"
"RESP_341,9,""Very satisfied with the service and care received."",2026-01-03,San Francisco"
"RESP_342,5,""Staff at Houston location seemed completely unfamiliar with PreventativeScan protocols. Kept asking questions they should have known the answers to."",2026-01-03,Houston"
"RESP_343,8,""Good experience overall. Would use again."",2026-01-02,Seattle"
"RESP_344,1,""Promised a refund 3 months ago. Still haven't received it despite sending 8 follow-up emails. This is stealing at this point."",2026-01-02,Portland"
"RESP_345,10,"""",2026-01-01,Boston"
"RESP_346,4,""The emails about appointment preparation are contradictory and confusing. Show up and hope for the best I guess."",2026-01-01,Miami"
"RESP_347,7,""Decent enough. No major complaints."",2025-07-31,Atlanta"
"RESP_348,6,""Average experience for above-average price."",2025-07-31,Denver"
"RESP_349,2,""When my scan showed something concerning I needed urgent guidance. No phone number to call. Had to email and wait 48 hours while I was panicking. Unacceptable."",2025-07-30,San Diego"
"RESP_350,9,""Excellent service throughout. Very impressed."",2025-07-30,Chicago"
"RESP_351,3,""Dallas location completely overrun. No appointments for 10+ weeks. If you're this backed up, hire more staff or stop taking patients."",2025-07-29,Dallas"
"RESP_352,10,""Perfect experience. Would highly recommend to anyone."",2025-07-29,San Francisco"
"RESP_353,5,""Paid online, got confirmation, but site still tried to charge me again in person. Billing system is broken."",2025-07-28,Los Angeles"
"RESP_354,8,"""",2025-07-28,Seattle"
"RESP_355,4,""Staff were unfriendly bordering on hostile. Made me feel like I was inconveniencing them by being there."",2025-07-27,Phoenix"
"RESP_356,9,""Very good care and service. Highly recommend."",2025-07-27,Boston"
"RESP_357,2,""Miami waiting room is disgusting. Trash everywhere, furniture torn and stained. Completely unacceptable for a healthcare facility."",2025-07-26,Miami"
"RESP_358,7,""Good enough. Would probably use again."",2025-07-26,Austin"
"RESP_359,6,"""",2025-07-25,Portland"
"RESP_360,1,""The facility techs didn't know what PreventativeScan is or why I was there. Had to explain the entire concept to them. How do you partner with facilities that aren't trained on your service?"",2025-07-25,Houston"
"RESP_361,10,""Outstanding in every way. Best healthcare experience I've had."",2025-07-24,San Francisco"
"RESP_362,3,""Still waiting for results after 5 weeks. Told 7-10 days. Every inquiry gets a generic 'processing' response with no real update."",2025-07-24,Seattle"
"RESP_363,8,""Satisfied overall. Professional experience."",2025-07-23,Chicago"
"RESP_364,5,""Not clear what the scan actually covers. Marketing seems misleading about what conditions are actually screened for."",2025-07-23,Denver"
"RESP_365,9,"""",2025-07-22,New York"
"RESP_366,4,""Customer support is incredibly slow. Simple questions take a week to get answered. For premium service this is unacceptable."",2025-07-22,Los Angeles"
"RESP_367,7,""Decent experience. Nothing special but no major issues."",2025-07-21,Boston"
"RESP_368,2,""My appointment confirmation said Tuesday at 2pm. Showed up and they had me down for Wednesday at 10am. Complete system failure."",2025-07-21,San Diego"
"RESP_369,10,"""",2025-07-20,San Francisco"
"RESP_370,6,""Okay but not worth the premium price tag."",2025-07-20,Atlanta"
"RESP_371,3,""Earliest appointment in Boston is 9 weeks away. Website said immediate availability when I signed up. Bait and switch."",2025-07-19,Boston"
"RESP_372,9,""Excellent throughout. Very impressed with the care."",2025-07-19,Seattle"
"RESP_373,5,""Pre-appointment emails are confusing and contradictory. Different instructions from different sources."",2025-07-18,Miami"
"RESP_374,8,"""",2025-07-18,Austin"
"RESP_375,1,""No customer support phone line is absurd. When I had an issue at the facility nobody could help because there's no way to contact support in real-time."",2025-07-17,Phoenix"
"RESP_376,10,""Perfect from start to finish. Highly recommend."",2025-07-17,Chicago"
"RESP_377,4,""Staff at location were rude and dismissive of my concerns. Terrible customer service for premium pricing."",2025-07-16,Dallas"
"RESP_378,7,""Good solid experience. Would use again."",2025-07-16,Portland"
"RESP_379,6,"""",2025-07-15,Denver"
"RESP_380,2,""Website charged me twice for my scan. Been trying to get refund for one payment for 6 weeks. Multiple emails ignored."",2025-07-15,Houston"
"RESP_381,9,""Very satisfied with everything. Professional and thorough."",2025-07-14,San Francisco"
"RESP_382,3,""The facility waiting area in Miami is filthy. Trash overflowing, dirty surfaces. Not acceptable for healthcare."",2025-07-14,Miami"
"RESP_383,8,""Good experience overall. Would recommend."",2025-07-13,Los Angeles"
"RESP_384,5,""Results took 4 weeks instead of promised 10 days. When I follow up, get generic responses with no real information."",2025-07-13,Seattle"
"RESP_385,10,"""",2025-07-12,Boston"
"RESP_386,4,""I don't think the facility staff are trained on what PreventativeScan is. They seemed confused about the whole process."",2025-07-12,San Diego"
"RESP_387,7,""Decent enough. No major issues to report."",2025-07-11,Chicago"
"RESP_388,6,""Nothing remarkable. Average experience."",2025-07-11,Atlanta"
"RESP_389,1,""Marketing materials were misleading about what the scan actually screens for. Discovered after paying that it covers much less than implied."",2025-07-10,Phoenix"
"RESP_390,9,""Excellent care and service throughout. Very impressed."",2025-07-10,New York"
"RESP_391,3,""Dallas location completely booked out 10+ weeks. Can't get an appointment anywhere near when I need it."",2025-07-09,Dallas"
"RESP_392,8,"""",2025-07-09,San Francisco"
"RESP_393,5,""Confirmation email said one date, portal said another, facility had me down for a third date. Complete mess."",2025-07-08,Austin"
"RESP_394,10,""Outstanding experience in every way. Cannot recommend enough."",2025-07-08,Seattle"
"RESP_395,2,""Customer support takes forever. Waited 8 days for response to simple scheduling question."",2025-07-07,Portland"
"RESP_396,7,""Good experience. Would likely use again."",2025-07-07,Miami"
"RESP_397,6,"""",2025-07-06,Denver"
"RESP_398,4,""Staff were unfriendly and made me feel like I was bothering them with basic questions."",2025-07-06,Houston"
"RESP_399,9,""Very good service. Professional throughout."",2025-07-05,Chicago"
"RESP_400,3,""When I arrived they tried to charge me again even though I'd already paid online. Took 30 minutes to resolve."",2025-07-05,Los Angeles"
"RESP_401,8,""Satisfied with the experience. Good care."",2025-07-04,Boston"
"RESP_402,1,""Promised partial refund 4 months ago. Still waiting. Multiple follow-ups completely ignored. This is theft."",2025-07-04,San Diego"
"RESP_403,10,"""",2025-07-03,San Francisco"
"RESP_404,5,""Pre-scan emails are contradictory. One says fast, one says don't fast. One says arrive early, another doesn't. Figure it out."",2025-07-03,Phoenix"
"RESP_405,7,""Solid experience. Would recommend."",2025-07-02,Seattle"
"RESP_406,6,""Fine but nothing special."",2025-07-02,Atlanta"
"RESP_407,2,""Boston location impossible to book. 8+ week wait times. Not what was advertised when signing up."",2025-07-01,Boston"
"RESP_408,9,""Excellent from beginning to end. Very impressed."",2025-07-01,New York"
"RESP_409,4,""Results are 3 weeks late. Every inquiry gets same generic response with no actual information."",2025-11-30,Miami"
"RESP_410,8,"""",2025-11-30,Austin"
"RESP_411,3,""Facility staff didn't know what PreventativeScan was. Kept asking for doctor referral. Had to explain it multiple times."",2025-11-29,Dallas"
"RESP_412,10,""Perfect experience. Worth every penny."",2025-11-29,Chicago"
"RESP_413,5,""Customer support incredibly slow to respond. Takes week+ for simple questions."",2025-11-28,Portland"
"RESP_414,7,""Good enough experience. Met expectations."",2025-11-28,Denver"
"RESP_415,6,"""",2025-11-27,Los Angeles"
"RESP_416,1,""Miami facility waiting room is disgusting. Trash everywhere, bathroom filthy. Unacceptable for premium healthcare service."",2025-11-27,Miami"
"RESP_417,9,""Very satisfied. Professional and thorough throughout."",2025-11-26,San Francisco"
"RESP_418,4,""Staff were rude when I asked questions. Made me feel unwelcome."",2025-11-26,Houston"
"RESP_419,8,""Good experience overall. Would use again."",2025-11-25,Seattle"
"RESP_420,2,""When issue arose at facility, no phone support to call. Just had to email and wait. Completely inadequate."",2025-11-25,Phoenix"
"RESP_421,10,"""",2025-11-24,Boston"
"RESP_422,3,""Appointment confirmation had wrong date. Showed up and they had me scheduled for different day entirely."",2025-11-24,San Diego"
"RESP_423,7,""Decent experience. No major complaints."",2025-11-23,Atlanta"
"RESP_424,6,""Average for premium price."",2025-11-23,Chicago"
"RESP_425,5,""Not clear from marketing what scan actually screens for. Felt misled after getting results."",2025-11-22,Austin"
"RESP_426,9,""Excellent service and care. Highly recommend."",2025-11-22,New York"
"RESP_427,4,""Dallas location completely backed up. Can't get appointment for 11 weeks."",2025-11-21,Dallas"
"RESP_428,8,"""",2025-11-21,San Francisco"
"RESP_429,1,""Website charged me for scan at checkout. Then facility tried to charge me again. Billing system completely broken."",2025-11-20,Portland"
"RESP_430,10,""Outstanding from start to finish. Cannot fault anything."",2025-11-20,Seattle"
"RESP_431,3,""Pre-appointment communication is mess. Conflicting information from every source."",2025-11-19,Miami"
"RESP_432,7,""Good solid experience. Would recommend."",2025-11-19,Denver"
"RESP_433,6,"""",2025-11-18,Los Angeles"
"RESP_434,2,""Results 6 weeks late. Told 10 days. Follow-ups get generic non-answers."",2025-11-18,Phoenix"
"RESP_435,9,""Very impressed with care and professionalism."",2025-11-17,Boston"
"RESP_436,5,""Staff seemed unfamiliar with PreventativeScan protocols and procedures."",2025-11-17,Houston"
"RESP_437,8,""Satisfied overall. Professional experience."",2025-11-16,Chicago"
"RESP_438,4,""Customer support response time unacceptable. Week+ for simple questions."",2025-11-16,San Diego"
"RESP_439,10,"""",2025-11-15,San Francisco"
"RESP_440,3,""Staff rude and dismissive. Terrible customer service for what I paid."",2025-11-15,Atlanta"
"RESP_441,7,""Good experience. Would use again."",2025-11-14,Seattle"
"RESP_442,6,""Nothing special but adequate."",2025-11-14,Austin"
"RESP_443,1,""Boston scheduling impossible. 10+ week waits. Stop taking new patients if you're this backed up."",2025-11-13,Boston"
"RESP_444,9,""Excellent throughout. Very satisfied."",2025-11-13,New York"
"RESP_445,5,""Confirmation email different from portal different from what facility had on file."",2025-11-12,Dallas"
"RESP_446,8,"""",2025-11-12,Portland"
"RESP_447,2,""Miami facility filthy. Trash overflowing, dirty surfaces. Not acceptable."",2025-11-11,Miami"
"RESP_448,10,""Perfect in every way. Highly recommend."",2025-11-11,San Francisco"
"RESP_449,4,""Pre-scan emails contradictory and confusing. Don't know what to believe."",2025-11-10,Denver"
"RESP_450,7,""Decent enough. No major issues."",2025-11-10,Los Angeles"
"RESP_451,6,"""",2025-11-09,Chicago"
"RESP_452,3,""No phone support is ridiculous. When problems arise at facility, nowhere to call for help."",2025-11-09,Phoenix"
"RESP_453,9,""Very good care throughout. Impressed overall."",2025-11-08,Seattle"
"RESP_454,5,""Marketing misleading about what scan covers. Felt misled."",2025-11-08,Houston"
"RESP_455,8,""Good experience. Would recommend."",2025-11-07,Boston"
"RESP_456,1,""Promised refund 5 months ago. Nothing. Multiple emails ignored. This is criminal."",2025-11-07,San Diego"
"RESP_457,10,"""",2025-11-06,San Francisco"
"RESP_458,4,""Staff unfriendly. Made basic questions seem like huge inconvenience."",2025-11-06,Atlanta"
"RESP_459,7,""Solid experience overall."",2025-11-05,Austin"
"RESP_460,6,""Fine but not worth premium price."",2025-11-05,Portland"
"RESP_461,2,""Facility tried to charge me again after I'd paid online. Took forever to fix."",2025-11-04,Dallas"
"RESP_462,9,""Excellent service and professionalism."",2025-11-04,New York"
"RESP_463,3,""Dallas backed up 12+ weeks. Can't get appointment."",2025-11-03,Dallas"
"RESP_464,8,"""",2025-11-03,Seattle"
"RESP_465,5,""Results 5 weeks late. Generic responses when I follow up."",2025-11-02,Miami"
"RESP_466,10,""Outstanding care throughout. Perfect experience."",2025-11-02,Chicago"
"RESP_467,4,""Customer support incredibly slow. 10+ days for simple question."",2025-11-01,Phoenix"
"RESP_468,7,""Good enough. Would use again."",2025-11-01,Denver"
"RESP_469,6,"""",2025-12-31,Los Angeles"
"RESP_470,1,""Staff at facility had no idea what PreventativeScan is. Complete confusion. How are you partnering with facilities that don't know your service?"",2025-12-31,Houston"
"RESP_471,9,""Very satisfied with everything. Professional throughout."",2025-12-30,Boston"
"RESP_472,3,""Confirmation had wrong date and time. Showed up to wrong appointment slot."",2025-12-30,San Diego"
"RESP_473,8,""Good experience overall."",2025-12-29,San Francisco"
"RESP_474,5,""Pre-scan communication confusing with conflicting info."",2025-12-29,Atlanta"
"RESP_475,10,"""",2025-12-28,Seattle"
"RESP_476,2,""Miami waiting room disgusting. Trash, dirt, stains everywhere."",2025-12-28,Miami"
"RESP_477,7,""Decent experience. Would recommend."",2025-12-27,Austin"
"RESP_478,6,""Average experience."",2025-12-27,Portland"
"RESP_479,4,""Staff rude and dismissive of concerns."",2025-12-26,Phoenix"
"RESP_480,9,""Excellent care. Very impressed."",2025-12-26,New York"
"RESP_481,3,""Boston impossible to book. 8+ week waits everywhere."",2025-12-25,Boston"
"RESP_482,8,"""",2025-12-25,Chicago"
"RESP_483,1,""Marketing misrepresented what scan covers. Feel scammed."",2025-12-24,Dallas"
"RESP_484,10,""Perfect from beginning to end."",2025-12-24,San Francisco"
"RESP_485,5,""Customer support too slow. Week for basic answers."",2025-12-23,Denver"
"RESP_486,7,""Good solid experience."",2025-12-23,Los Angeles"
"RESP_487,6,"""",2025-12-22,Seattle"
"RESP_488,2,""No phone support when needed at facility. Ridiculous."",2025-12-22,Houston"
"RESP_489,9,""Very satisfied. Professional throughout."",2025-12-21,Boston"
"RESP_490,4,""Results 4 weeks late with no real updates."",2025-12-21,San Diego"
"RESP_491,8,""Good experience overall."",2025-12-20,Portland"
"RESP_492,3,""Facility staff unfamiliar with PreventativeScan."",2025-12-20,Phoenix"
"RESP_493,10,"""",2025-12-19,San Francisco"
"RESP_494,5,""Confirmation info didn't match between systems."",2025-12-19,Atlanta"
"RESP_495,7,""Decent enough experience."",2025-12-18,Austin"
"RESP_496,6,""Nothing remarkable."",2025-12-18,Miami"
"RESP_497,1,""Charged twice. Been fighting for refund for months."",2025-12-17,Dallas"
"RESP_498,9,""Excellent throughout."",2025-12-17,New York"
"RESP_499,4,""Staff rude. Poor customer service."",2025-12-16,Chicago"
"RESP_500,10,""Perfect experience. Highly recommend."",2025-12-16,Seattle"